timestamp,capture_ms,inference_ms,postprocess_ms,loop_ms,fps,num_detections,max_score
1773329439.1881871,31.802,14.325,0.012,65.503,15.27,0,0.000
1773329439.2560158,32.142,14.350,0.013,66.831,14.96,0,0.000
1773329439.3215115,30.930,14.295,0.014,64.666,15.46,0,0.000
1773329439.3892314,34.408,14.278,0.012,66.631,15.01,0,0.000
1773329439.4547765,31.249,17.473,0.018,64.521,15.50,0,0.000
1773329439.5222974,32.440,15.622,0.013,66.471,15.04,0,0.000
1773329439.5880003,30.990,14.496,0.013,64.781,15.44,0,0.000
1773329439.654927,32.938,14.325,0.012,65.904,15.17,0,0.000
1773329439.7222688,32.084,14.935,0.013,66.507,15.04,0,0.000
1773329439.7882843,31.880,14.342,0.019,64.922,15.40,0,0.000
1773329439.8547053,33.159,14.371,0.019,65.609,15.24,0,0.000
1773329439.922688,36.040,14.560,0.013,66.892,14.95,0,0.000
1773329439.9878352,32.560,14.449,0.023,64.026,15.62,0,0.000
1773329440.055841,32.000,14.417,0.016,66.894,14.95,0,0.000
1773329440.1213453,30.914,14.221,0.014,64.606,15.48,0,0.000
1773329440.1890516,33.000,14.422,0.021,66.691,14.99,0,0.000
1773329440.2545521,31.178,14.625,0.023,64.688,15.46,0,0.000
1773329440.321433,34.537,14.286,0.011,65.838,15.19,0,0.000
1773329440.3876612,31.790,14.352,0.015,65.173,15.34,0,0.000
1773329440.455258,32.777,14.514,0.016,66.587,15.02,0,0.000
1773329440.5211911,31.310,15.219,0.012,65.064,15.37,0,0.000
1773329440.5879424,32.373,14.333,0.010,65.693,15.22,0,0.000
1773329440.6545975,31.628,14.847,0.015,65.686,15.22,0,0.000
1773329440.7223175,32.478,15.092,0.022,66.643,15.01,0,0.000
1773329440.7885115,32.078,14.655,0.014,64.726,15.45,0,0.000
1773329440.8544745,31.143,14.591,0.019,64.949,15.40,0,0.000
1773329440.9207604,36.390,14.637,0.014,65.409,15.29,0,0.000
1773329440.9876196,32.334,14.510,0.021,65.861,15.18,0,0.000
1773329441.0543106,33.506,14.472,0.013,65.810,15.20,0,0.000
1773329441.1209023,32.522,14.864,0.013,65.496,15.27,0,0.000
1773329441.1878126,33.055,18.180,0.014,66.097,15.13,0,0.000
1773329441.2542286,32.071,17.150,0.014,65.411,15.29,0,0.000
1773329441.3208866,31.939,14.415,0.012,65.589,15.25,0,0.000
1773329441.3880067,30.547,14.911,0.014,64.690,15.46,0,0.000
1773329441.4539468,31.860,14.541,0.012,65.106,15.36,0,0.000
1773329441.520846,33.070,15.928,0.014,65.814,15.19,0,0.000
1773329441.588256,32.358,17.080,0.015,66.434,15.05,0,0.000
1773329441.6545107,32.469,15.534,0.015,65.099,15.36,0,0.000
1773329441.7211206,32.734,14.911,0.015,65.720,15.22,0,0.000
1773329441.7873406,31.837,14.273,0.015,65.195,15.34,0,0.000
1773329441.8540776,32.380,14.342,0.012,65.823,15.19,0,0.000
1773329441.921587,32.105,14.322,0.014,66.490,15.04,0,0.000
